REGION,TECHNOLOGY,YEAR,VALUE
"REGION1","SEBMSTPH3",2035,56.0118635916868
"REGION1","SEBMSTPH3",2040,58.735484313541
"REGION1","SEBMSTPH3",2041,201.240033165103
"REGION1","SEBMSTPH3",2043,31.2680781270408
"REGION1","SEBMSTPH3",2045,37.0478821364924
"REGION1","SEGOCVPH2",2024,0.0145770441925833
"REGION1","SEGOCVPH2",2025,0.00476242270499139
"REGION1","SEGOCVPH2",2026,0.0230800691893199
"REGION1","SEGOCVPH2",2027,0.0270191683774014
"REGION1","SEGOCVPH2",2028,0.0307570409935254
"REGION1","SEGOCVPH2",2029,0.0343046565939457
"REGION1","SEGOCVPH2",2030,0.0376684217056184
"REGION1","SEGOCVPH2",2031,0.0410374560848816
"REGION1","SEGOCVPH2",2032,0.0441921376547594
"REGION1","SEGOCVPH2",2033,0.0472007077672682
"REGION1","SEGOCVPH2",2034,0.0500785567935051
"REGION1","SEGOCVPH2",2035,0.0528223361770391
"REGION1","SEGOCVPH2",2036,0.0554456883166061
"REGION1","SEGOCVPH2",2037,0.057955290328392
"REGION1","SEGOCVPH2",2038,0.0603462486715031
"REGION1","SEGOCVPH2",2039,0.0626378502602034
"REGION1","SEGOCVPH2",2040,0.0648200429983924
"REGION1","SEGOCVPH2",2041,0.050641187285483
"REGION1","SEGOCVPH2",2042,0.052143836605536
"REGION1","SEGOCVPH2",2043,0.053577272730771
"REGION1","SEGOCVPH2",2044,0.0549505505897256
"REGION1","SEGOCVPH2",2045,0.0562609131697587
"REGION1","SEGOCVPH2",2046,0.0211393326773805
"REGION1","SEGOCVPH2",2047,0.0215769570984389
"REGION1","SEGOCVPH2",2048,0.0219995533265964
"REGION1","SEGOCVPH2",2049,0.0223990361451786
"REGION1","SEGOCVPH2",2050,0.0227854833488
"REGION1","SEGOCVPH2",2051,0.0184751814609406
"REGION1","SEGOCVPH2",2052,0.0189452471396333
"REGION1","SEGOCVPH2",2053,0.019416143434965
"REGION1","SEGOCVPH2",2054,0.0198785526322342
"REGION1","SEGOCVPH2",2055,0.0203354062998883
"REGION1","SEGOCVPH2",2056,0.020783923865734
"REGION1","SEGOCVPH2",2057,0.0212393258622053
"REGION1","SEGOCVPH2",2058,0.0216871206540853
"REGION1","SEGOCVPH2",2059,0.0221326304202795
"REGION1","SEGOCVPH2",2060,0.0225709061782767
"REGION1","SEHFCHPH3",2037,0.619898988671824
"REGION1","SEHFCHPH3",2038,1.61743488485556
"REGION1","SEHFCHPH3",2039,3.73948601155367
"REGION1","SEHFCHPH3",2040,5.70279137807138
"REGION1","SEHFCHPH3",2041,6.30440542349138
"REGION1","SEHFCHPH3",2042,8.06444278425863
"REGION1","SEHFCHPH3",2043,16.0729195794664
"REGION1","SEHFCHPH3",2044,13.2677783605333
"REGION1","SEHFCHPH3",2045,21.2462986571609
"REGION1","SEHFCHPH3",2046,34.3942130029285
"REGION1","SEHFCHPH3",2047,111.834625353502
"REGION1","SEHFCHPH3",2048,34.9942009866955
"REGION1","SEHFCHPH3",2049,15.6515477203134
"REGION1","SEHFCHPH3",2050,6.38295584122746
"REGION1","SEHFCHPH3",2051,2.74302354211364
"REGION1","SEHFCHPH3",2052,2.88768858241374
"REGION1","SEHFCHPH3",2053,3.03085531073928
"REGION1","SEHFCHPH3",2054,30.9775803728641
"REGION1","SEHFCHPH3",2055,54.7832354609033
"REGION1","SEHFCHPH3",2056,20.2069189174248
"REGION1","SEHFCHPH3",2057,10.7717355585206
"REGION1","SEHFCHPH3",2058,17.6457793266211
"REGION1","SEHFCHPH3",2059,34.0694323184394
"REGION1","SEHFCHPH3",2060,29.7067340292561
"REGION1","SEHYDMPH3",2030,668.903099219809
"REGION1","SEHYDMPH3",2031,38.606070428119
"REGION1","SEHYDMPH3",2032,66.4159660773522
"REGION1","SEHYDMPH3",2033,112.632033719724
"REGION1","SEHYDMPH3",2034,94.9828134890563
"REGION1","SEHYDMPH3",2035,123.135103912692
"REGION1","SEHYDMPH3",2036,69.4999178532005
"REGION1","SEHYDMPH3",2037,109.861598375814
"REGION1","SEHYDMPH3",2038,131.929287964325
"REGION1","SEHYDMPH3",2039,56.7488380871471
"REGION1","SEHYDMPH3",2040,101.944480256317
"REGION1","SEHYDMPH3",2041,175.306356880311
"REGION1","SEHYDMPH3",2043,187.031611788647
"REGION1","SEHYDMPH3",2045,289.169887540924
"REGION1","SEHYDMPH3",2046,60.5257942025794
"REGION1","SEHYDMPH3",2047,164.80390130783
"REGION1","SEHYDMPH3",2048,110.733565898765
"REGION1","SEHYDMPH3",2049,59.0278338665324
"REGION1","SEHYDMPH3",2050,98.8784933992658
"REGION1","SEHYDMPH3",2051,104.149981623409
"REGION1","SEHYDMPH3",2052,71.9207435189249
"REGION1","SEHYDMPH3",2053,121.91033726751
"REGION1","SEHYDMPH3",2054,83.5863603340704
"REGION1","SEHYDMPH3",2055,209.389237042549
"REGION1","SEHYDMPH3",2056,159.522719123118
"REGION1","SEHYDMPH3",2057,24.9365120723627
"REGION1","SEHYDMPH3",2058,76.3347603055465
"REGION1","SEHYDMPH3",2060,311.433223286136
"REGION1","SEWIONPN3",2037,9.84114035771101
"REGION1","SEWIONPN3",2038,23.6108522480523
"REGION1","SEWIONPN3",2039,49.3411105593474
"REGION1","SEWIONPN3",2040,64.0370828042757
"REGION1","SEWIONPN3",2041,77.9948416331461
"REGION1","SEWIONPN3",2042,56.1239495117425
"REGION1","SEWIONPN3",2043,103.727098040801
"REGION1","SEWIONPN3",2044,100.034864205714
"REGION1","SEWIONPN3",2045,126.783660155962
"REGION1","SEWIONPN3",2046,33.6314712711168
"REGION1","SEWIONPN3",2047,36.1241936350057
"REGION1","SEWIONPN3",2048,38.4882451252767
"REGION1","SEWIONPN3",2049,40.7324766622393
"REGION1","SEWIONPN3",2050,42.1242440772064
"REGION1","SEWIONPN3",2051,25.0133998727294
"REGION1","SEWIONPN3",2052,25.8080414056087
"REGION1","SEWIONPN3",2053,26.5451356603735
"REGION1","SEWIONPN3",2054,54.3838401997573
"REGION1","SEWIONPN3",2055,203.796204304217
"REGION1","SEWIONPN3",2056,131.28315923
"REGION1","SEWIONPN3",2057,83.1945977576503
"REGION1","SEWIONPN3",2058,152.930466319919
"REGION1","SEWIONPN3",2059,145.061394210767
"REGION1","SEWIONPN3",2060,222.310560746207
"REGION1","SEWSSTPH1",2054,83.3717504477841
"REGION1","SEWSSTPH1",2055,45.6797842739545
"REGION1","SEWSSTPH1",2056,47.930093314986
"REGION1","SEWSSTPH1",2057,29.6709410896783
"REGION1","SEWSSTPH1",2058,34.5935394055933
"REGION1","SEWSSTPH1",2059,66.2701470419508
"REGION1","SEWSSTPH1",2060,17.7506983588983
"REGION1","SEstEA004",2045,4.24259234496653
"REGION1","SEstEA004",2046,17.2846813483521
"REGION1","SEstEA004",2049,5.15811692365311
"REGION1","SEstEA004",2050,9.19170153686416
"REGION1","SEstEA004",2051,46.389346725505
"REGION1","SEceCO001",2037,0.0190636366183511
"REGION1","SEceCO001",2040,0.0772806421179854
"REGION1","SEceCO001",2041,0.0850355061923856
"REGION1","SEceCO001",2042,0.101599206614882
"REGION1","SEceCO001",2043,0.117999070970945
"REGION1","SEceCO001",2044,0.126944342339372
"REGION1","SEceCO001",2045,0.144946808087112
"REGION1","SEceCO001",2046,0.154564566190912
"REGION1","SEceCO001",2047,0.166267985371546
"REGION1","SEceCO001",2048,0.177414098876989
"REGION1","SEceCO001",2049,0.188029445072633
"REGION1","SEceCO001",2050,35.7216849747777
"REGION1","SEceCO001",2051,0.415535461031517
"REGION1","SEceCO001",2052,0.433875331361935
"REGION1","SEceCO001",2053,0.451341874533789
"REGION1","SEceCO001",2054,0.467976677554568
"REGION1","SEceCO001",2055,0.483819347098248
"REGION1","SEceCO001",2060,0.637407181771568
"REGION1","SEcePL003",2038,0.0512181360791497
"REGION1","SEcePL003",2039,0.0683526759291967
"REGION1","SEcePL003",2056,0.758659621389145
"REGION1","SEcePL003",2057,0.744260771428816
"REGION1","SEcePL003",2058,0.764104965985897
"REGION1","SEcePL003",2059,0.783004198897474
"REGION1","SEppCO001",2040,368.742382105933
"REGION1","SEppCO001",2041,14.0512432482925
"REGION1","SEppCO001",2042,16.9303544948068
"REGION1","SEppCO001",2043,19.8494252390171
"REGION1","SEppCO001",2044,22.7260149591839
"REGION1","SEppCO001",2045,10.2717206097977
"REGION1","SEppCO001",2046,8.12292444324513
"REGION1","SEppCO001",2047,9.00186775580785
"REGION1","SEppCO001",2048,9.88223929060509
"REGION1","SEppCO001",2049,10.7874898185528
"REGION1","SEppCO001",2050,25.7395397647551
"REGION1","SEppCO001",2051,31.7693449468894
"REGION1","SEppCO001",2052,33.5516194774079
"REGION1","SEppCO001",2053,35.2866372828264
"REGION1","SEppCO001",2054,36.9887409305813
"REGION1","SEppCO001",2055,38.6648151213586
"REGION1","SEppCO001",2056,41.5176707273665
"REGION1","SEppCO001",2057,43.1547339639922
"REGION1","SEppCO001",2058,44.7930044545233
"REGION1","SEppCO001",2059,46.4174239109702
"REGION1","SEppCO001",2060,46.467208942731
"REGION1","SEppBC002",2037,1.9466368645743
"REGION1","SEppBC002",2038,3.84544020465151
"REGION1","SEppBC002",2039,6.2716148545926
"REGION1","SEppBC002",2040,8.41037632367911
"REGION1","SEppBC002",2041,6.70248948557628
"REGION1","SEppBC002",2042,7.86988764922013
"REGION1","SEppBC002",2043,8.98589969919401
"REGION1","SEppBC002",2044,17.4568590785603
"REGION1","SEppBC002",2045,23.2266762550433
"REGION1","SEppBC002",2046,20.0451178497999
"REGION1","SEppBC002",2047,21.5735333376002
"REGION1","SEppBC002",2048,23.0402647215556
"REGION1","SEppBC002",2049,24.4315537425503
"REGION1","SEppBC002",2050,7.35909362851254
"REGION1","SEppBC002",2051,1.92778843483711
